user_id,signup,kyc_completed,first_trade,repeat_trade,trade_type,signup_date,trade_date
81,1,0,0,0,,2024-06-08,
82,1,1,0,0,,2024-01-26,
83,1,1,0,0,,2024-04-24,
84,1,1,1,0,derivatives,2024-05-08,2024-05-10
85,1,1,0,0,,2024-02-25,
86,1,1,0,0,,2024-05-01,
87,1,0,0,0,,2024-04-15,
88,1,1,1,0,derivatives,2024-05-09,2024-05-22
89,1,0,0,0,,2024-03-21,
90,1,1,0,0,,2024-06-06,
91,1,1,1,0,spot,2024-04-29,2024-05-06
92,1,1,1,1,spot,2024-02-21,2024-03-01
93,1,0,0,0,,2024-03-31,
94,1,1,0,0,,2024-05-16,
95,1,0,0,0,,2024-01-22,
96,1,1,1,1,spot,2024-02-03,2024-02-09
97,1,1,1,1,derivatives,2024-04-19,2024-04-29
98,1,1,1,1,spot,2024-02-18,2024-02-20
99,1,1,1,1,derivatives,2024-05-08,2024-05-20
100,1,1,0,0,,2024-03-13,
101,1,1,1,0,spot,2024-03-24,2024-04-03
102,1,1,0,0,,2024-02-22,
103,1,1,0,0,,2024-04-09,
104,1,1,1,1,spot,2024-05-03,2024-05-13
105,1,0,0,0,,2024-06-16,
106,1,1,0,0,,2024-02-14,
107,1,1,1,0,spot,2024-05-16,2024-05-29
108,1,0,0,0,,2024-04-14,
109,1,1,0,0,,2024-05-29,
110,1,1,1,0,derivatives,2024-05-25,2024-06-03
111,1,1,0,0,,2024-04-15,
112,1,1,0,0,,2024-02-12,
113,1,0,0,0,,2024-06-15,
114,1,0,0,0,,2024-05-13,
115,1,1,1,0,spot,2024-02-17,2024-02-24
116,1,0,0,0,,2024-05-05,
117,1,0,0,0,,2024-01-07,
118,1,1,1,1,spot,2024-01-16,2024-01-27
119,1,0,0,0,,2024-05-08,
120,1,1,1,0,spot,2024-04-24,2024-04-25
121,1,0,0,0,,2024-02-06,
122,1,0,0,0,,2024-06-13,
123,1,1,1,0,derivatives,2024-05-04,2024-05-16
124,1,1,0,0,,2024-03-21,
125,1,1,1,0,derivatives,2024-03-02,2024-03-11
126,1,1,1,0,spot,2024-03-12,2024-03-14
127,1,0,0,0,,2024-05-04,
128,1,0,0,0,,2024-06-09,
129,1,1,1,1,derivatives,2024-03-06,2024-03-10
130,1,1,0,0,,2024-01-30,
131,1,1,0,0,,2024-01-20,
132,1,1,0,0,,2024-03-22,
133,1,1,1,0,spot,2024-04-16,2024-04-25
134,1,1,0,0,,2024-05-31,
135,1,0,0,0,,2024-05-11,
136,1,1,1,1,spot,2024-02-06,2024-02-10
137,1,1,0,0,,2024-05-11,
138,1,1,1,1,spot,2024-03-17,2024-03-20
139,1,1,0,0,,2024-03-29,
140,1,0,0,0,,2024-05-25,
141,1,0,0,0,,2024-03-28,
142,1,1,0,0,,2024-06-24,
143,1,1,1,1,spot,2024-02-02,2024-02-03
144,1,1,0,0,,2024-02-27,
145,1,1,0,0,,2024-01-28,
146,1,1,1,0,derivatives,2024-02-04,2024-02-11
147,1,1,0,0,,2024-05-04,
148,1,1,0,0,,2024-05-17,
149,1,1,0,0,,2024-03-05,
150,1,1,1,0,derivatives,2024-02-11,2024-02-17
151,1,0,0,0,,2024-03-25,
152,1,1,0,0,,2024-05-16,
153,1,1,1,0,spot,2024-04-20,2024-04-30
154,1,1,1,1,spot,2024-01-15,2024-01-19
155,1,0,0,0,,2024-03-09,
156,1,1,0,0,,2024-04-14,
157,1,1,0,0,,2024-05-29,
158,1,0,0,0,,2024-03-04,
159,1,1,0,0,,2024-02-10,
160,1,0,0,0,,2024-03-11,
161,1,1,1,1,derivatives,2024-02-25,2024-03-02
162,1,1,1,1,derivatives,2024-05-30,2024-06-05
163,1,1,0,0,,2024-01-25,
164,1,1,1,1,spot,2024-04-14,2024-04-27
165,1,1,0,0,,2024-05-13,
166,1,0,0,0,,2024-04-28,
167,1,1,1,1,derivatives,2024-06-10,2024-06-14
168,1,1,0,0,,2024-01-09,
169,1,1,1,1,spot,2024-02-29,2024-03-13
170,1,1,0,0,,2024-05-04,
171,1,1,1,1,spot,2024-02-18,2024-02-24
172,1,1,0,0,,2024-02-20,
173,1,1,0,0,,2024-03-10,
174,1,1,1,1,derivatives,2024-02-06,2024-02-16
175,1,1,0,0,,2024-01-31,
176,1,1,1,0,spot,2024-06-17,2024-06-28
177,1,1,0,0,,2024-03-02,
178,1,1,1,0,spot,2024-04-02,2024-04-10
179,1,0,0,0,,2024-01-14,
180,1,1,0,0,,2024-06-12,
181,1,1,0,0,,2024-06-12,
182,1,1,0,0,,2024-03-19,
183,1,0,0,0,,2024-01-08,
184,1,0,0,0,,2024-06-02,
185,1,1,1,1,spot,2024-02-05,2024-02-18
186,1,1,1,0,derivatives,2024-02-17,2024-02-20
187,1,0,0,0,,2024-03-25,
188,1,1,1,0,derivatives,2024-01-28,2024-02-01
189,1,1,1,0,spot,2024-02-20,2024-03-01
190,1,1,1,0,spot,2024-04-13,2024-04-26
191,1,1,0,0,,2024-06-18,
192,1,0,0,0,,2024-04-10,
193,1,0,0,0,,2024-01-29,
194,1,1,1,0,spot,2024-05-06,2024-05-18
195,1,1,0,0,,2024-03-22,
196,1,1,0,0,,2024-01-10,
197,1,0,0,0,,2024-04-15,
198,1,0,0,0,,2024-06-15,
199,1,0,0,0,,2024-01-01,
200,1,0,0,0,,2024-02-08,
201,1,1,1,0,spot,2024-01-21,2024-01-22
202,1,1,0,0,,2024-03-05,
203,1,1,0,0,,2024-01-15,
204,1,0,0,0,,2024-05-11,
205,1,1,1,1,spot,2024-03-01,2024-03-05
206,1,1,1,1,derivatives,2024-05-27,2024-06-07
207,1,1,0,0,,2024-05-17,
208,1,1,1,1,spot,2024-03-27,2024-04-06
209,1,1,0,0,,2024-04-14,
210,1,1,1,1,spot,2024-02-03,2024-02-13
211,1,1,1,1,spot,2024-05-03,2024-05-15
212,1,1,1,0,spot,2024-04-19,2024-04-28
213,1,1,0,0,,2024-06-24,
214,1,1,1,1,derivatives,2024-02-02,2024-02-10
215,1,1,1,0,spot,2024-04-07,2024-04-18
216,1,1,0,0,,2024-03-01,
217,1,1,1,1,spot,2024-01-10,2024-01-14
218,1,0,0,0,,2024-03-24,
219,1,1,1,0,spot,2024-03-05,2024-03-17
220,1,0,0,0,,2024-03-17,
221,1,1,1,1,spot,2024-01-01,2024-01-08
222,1,1,0,0,,2024-05-12,
223,1,1,0,0,,2024-03-20,
224,1,1,0,0,,2024-01-15,
225,1,1,0,0,,2024-01-28,
226,1,1,0,0,,2024-01-23,
227,1,0,0,0,,2024-04-18,
228,1,1,1,0,spot,2024-04-16,2024-04-26
229,1,0,0,0,,2024-05-24,
230,1,1,0,0,,2024-04-22,
231,1,0,0,0,,2024-04-07,
232,1,1,0,0,,2024-05-20,
233,1,1,1,1,spot,2024-05-21,2024-05-24
234,1,1,1,0,spot,2024-05-18,2024-05-27
235,1,1,1,1,spot,2024-01-28,2024-02-07
236,1,0,0,0,,2024-02-11,
237,1,1,1,1,spot,2024-04-08,2024-04-12
238,1,1,0,0,,2024-03-01,
239,1,1,0,0,,2024-05-02,
240,1,1,0,0,,2024-03-04,
241,1,0,0,0,,2024-01-31,
242,1,0,0,0,,2024-03-21,
243,1,0,0,0,,2024-01-10,
244,1,1,1,1,spot,2024-01-08,2024-01-10
245,1,1,1,1,derivatives,2024-05-28,2024-06-07
246,1,0,0,0,,2024-02-28,
247,1,1,0,0,,2024-06-26,
248,1,0,0,0,,2024-01-30,
249,1,0,0,0,,2024-05-24,
250,1,0,0,0,,2024-01-20,
251,1,1,0,0,,2024-02-17,
252,1,1,1,1,spot,2024-05-09,2024-05-14
253,1,0,0,0,,2024-02-06,
254,1,1,1,1,spot,2024-05-08,2024-05-10
255,1,1,1,1,spot,2024-05-11,2024-05-21
256,1,1,1,0,spot,2024-04-09,2024-04-15
257,1,0,0,0,,2024-02-23,
258,1,1,0,0,,2024-05-01,
259,1,1,0,0,,2024-01-25,
260,1,1,0,0,,2024-05-10,
261,1,1,1,1,derivatives,2024-01-09,2024-01-20
262,1,0,0,0,,2024-02-03,
263,1,1,1,1,spot,2024-02-12,2024-02-22
264,1,1,0,0,,2024-03-14,
265,1,0,0,0,,2024-04-03,
266,1,0,0,0,,2024-01-22,
267,1,1,1,0,derivatives,2024-03-10,2024-03-11
268,1,1,1,1,spot,2024-05-09,2024-05-15
269,1,1,0,0,,2024-04-03,
270,1,1,0,0,,2024-02-01,
271,1,0,0,0,,2024-04-15,
272,1,0,0,0,,2024-05-23,
273,1,0,0,0,,2024-01-01,
274,1,0,0,0,,2024-03-12,
275,1,1,1,0,spot,2024-06-24,2024-06-28
276,1,1,1,0,derivatives,2024-02-19,2024-02-22
277,1,0,0,0,,2024-05-20,
278,1,1,0,0,,2024-01-15,
279,1,1,1,1,spot,2024-02-22,2024-02-24
280,1,0,0,0,,2024-06-20,
281,1,0,0,0,,2024-01-08,
282,1,1,0,0,,2024-03-14,
283,1,1,0,0,,2024-02-15,
284,1,1,0,0,,2024-03-09,
285,1,1,0,0,,2024-04-23,
286,1,1,0,0,,2024-05-26,
287,1,1,1,0,spot,2024-06-14,2024-06-21
288,1,1,0,0,,2024-05-02,
289,1,1,0,0,,2024-05-18,
290,1,1,0,0,,2024-04-26,
291,1,1,1,1,spot,2024-02-12,2024-02-21
292,1,1,0,0,,2024-01-20,
293,1,0,0,0,,2024-05-27,
294,1,1,0,0,,2024-01-21,
295,1,1,0,0,,2024-03-22,
296,1,1,0,0,,2024-02-26,
297,1,0,0,0,,2024-06-26,
298,1,1,0,0,,2024-03-14,
299,1,1,0,0,,2024-04-07,
300,1,1,0,0,,2024-06-02,
301,1,1,1,1,derivatives,2024-06-06,2024-06-18
302,1,1,1,0,spot,2024-04-19,2024-04-22
303,1,1,0,0,,2024-04-24,
304,1,1,0,0,,2024-06-07,
305,1,0,0,0,,2024-02-11,
306,1,0,0,0,,2024-03-08,
307,1,1,0,0,,2024-03-10,
308,1,1,1,0,derivatives,2024-03-18,2024-03-24
309,1,0,0,0,,2024-03-30,
310,1,1,0,0,,2024-04-20,
311,1,1,0,0,,2024-04-21,
312,1,1,1,0,spot,2024-04-12,2024-04-21
313,1,1,0,0,,2024-05-24,
314,1,0,0,0,,2024-01-19,
315,1,0,0,0,,2024-06-27,
316,1,1,0,0,,2024-03-10,
317,1,1,0,0,,2024-03-03,
318,1,1,0,0,,2024-03-15,
319,1,1,0,0,,2024-06-06,
320,1,1,0,0,,2024-06-01,
321,1,1,1,0,derivatives,2024-04-13,2024-04-15
322,1,1,1,0,spot,2024-03-15,2024-03-22
323,1,1,1,0,derivatives,2024-05-07,2024-05-12
324,1,1,0,0,,2024-06-02,
325,1,0,0,0,,2024-02-25,
326,1,0,0,0,,2024-01-22,
327,1,1,1,1,spot,2024-03-29,2024-04-03
328,1,1,0,0,,2024-01-19,
329,1,1,1,1,derivatives,2024-06-07,2024-06-18
330,1,1,0,0,,2024-01-26,
331,1,1,0,0,,2024-06-18,
332,1,0,0,0,,2024-06-17,
333,1,1,1,1,spot,2024-01-23,2024-01-30
334,1,1,1,0,spot,2024-02-16,2024-02-25
335,1,1,0,0,,2024-01-13,
336,1,1,0,0,,2024-03-06,
337,1,0,0,0,,2024-05-23,
338,1,1,0,0,,2024-03-13,
339,1,1,0,0,,2024-06-04,
340,1,1,0,0,,2024-03-17,
341,1,1,1,1,spot,2024-06-11,2024-06-15
342,1,1,0,0,,2024-06-17,
343,1,1,0,0,,2024-01-31,
344,1,1,0,0,,2024-03-25,
345,1,1,1,0,spot,2024-06-08,2024-06-17
346,1,1,1,1,spot,2024-02-28,2024-03-12
347,1,1,1,0,derivatives,2024-02-10,2024-02-21
348,1,1,0,0,,2024-04-21,
349,1,1,1,0,derivatives,2024-04-05,2024-04-15
350,1,1,0,0,,2024-06-16,
351,1,1,1,0,spot,2024-05-01,2024-05-10
352,1,0,0,0,,2024-06-04,
353,1,1,1,1,derivatives,2024-06-13,2024-06-26
354,1,1,1,0,spot,2024-04-14,2024-04-18
355,1,1,1,1,spot,2024-03-14,2024-03-17
356,1,1,0,0,,2024-05-11,
357,1,1,1,1,derivatives,2024-04-08,2024-04-10
358,1,1,0,0,,2024-05-05,
359,1,0,0,0,,2024-05-17,
360,1,1,0,0,,2024-06-23,
361,1,1,0,0,,2024-03-15,
362,1,1,0,0,,2024-01-14,
363,1,1,0,0,,2024-02-07,
364,1,1,0,0,,2024-05-19,
365,1,0,0,0,,2024-02-14,
366,1,1,0,0,,2024-05-24,
367,1,0,0,0,,2024-06-11,
368,1,0,0,0,,2024-03-15,
369,1,1,0,0,,2024-06-17,
370,1,1,1,1,spot,2024-01-29,2024-02-07
371,1,1,1,1,derivatives,2024-01-18,2024-01-30
372,1,1,1,1,spot,2024-01-20,2024-01-22
373,1,1,1,1,spot,2024-01-14,2024-01-20
374,1,1,0,0,,2024-06-10,
375,1,1,1,1,spot,2024-06-25,2024-06-30
376,1,1,0,0,,2024-02-23,
377,1,0,0,0,,2024-01-31,
378,1,1,1,0,spot,2024-02-27,2024-03-03
379,1,0,0,0,,2024-04-13,
380,1,1,1,1,spot,2024-06-18,2024-06-22
381,1,1,1,1,derivatives,2024-05-07,2024-05-13
382,1,1,1,1,derivatives,2024-06-06,2024-06-11
383,1,1,1,0,derivatives,2024-01-25,2024-02-05
384,1,0,0,0,,2024-01-19,
385,1,0,0,0,,2024-05-15,
386,1,0,0,0,,2024-01-03,
387,1,1,0,0,,2024-03-26,
388,1,1,1,1,spot,2024-05-24,2024-05-28
389,1,0,0,0,,2024-05-21,
390,1,0,0,0,,2024-01-09,
391,1,0,0,0,,2024-04-03,
392,1,1,0,0,,2024-05-28,
393,1,1,0,0,,2024-06-13,
394,1,0,0,0,,2024-05-18,
395,1,1,1,0,spot,2024-01-20,2024-02-02
396,1,0,0,0,,2024-02-04,
397,1,0,0,0,,2024-02-22,
398,1,1,0,0,,2024-06-23,
399,1,0,0,0,,2024-04-19,
400,1,0,0,0,,2024-06-28,
401,1,1,0,0,,2024-05-15,
402,1,0,0,0,,2024-01-04,
403,1,1,0,0,,2024-06-03,
404,1,0,0,0,,2024-06-20,
405,1,1,1,0,spot,2024-06-16,2024-06-25
406,1,0,0,0,,2024-04-11,
407,1,1,0,0,,2024-02-16,
408,1,1,0,0,,2024-04-03,
409,1,0,0,0,,2024-06-20,
410,1,1,0,0,,2024-02-17,
411,1,1,1,1,spot,2024-03-31,2024-04-13
412,1,0,0,0,,2024-06-28,
413,1,0,0,0,,2024-03-24,
414,1,1,0,0,,2024-03-08,
415,1,1,0,0,,2024-05-18,
416,1,1,1,1,spot,2024-05-04,2024-05-10
417,1,1,0,0,,2024-03-13,
418,1,1,0,0,,2024-01-04,
419,1,1,0,0,,2024-03-16,
420,1,0,0,0,,2024-03-13,
421,1,0,0,0,,2024-03-17,
422,1,0,0,0,,2024-02-17,
423,1,1,1,0,derivatives,2024-06-02,2024-06-13
424,1,1,0,0,,2024-04-11,
425,1,1,0,0,,2024-04-15,
426,1,1,1,1,spot,2024-03-17,2024-03-27
427,1,1,0,0,,2024-02-08,
428,1,0,0,0,,2024-02-27,
429,1,1,0,0,,2024-01-19,
430,1,1,1,0,spot,2024-03-28,2024-04-07
431,1,1,1,0,spot,2024-04-22,2024-05-05
432,1,0,0,0,,2024-03-17,
433,1,1,1,1,spot,2024-03-17,2024-03-27
434,1,1,0,0,,2024-01-28,
435,1,1,1,1,spot,2024-03-06,2024-03-19
436,1,1,0,0,,2024-01-10,
437,1,1,0,0,,2024-05-05,
438,1,0,0,0,,2024-02-27,
439,1,1,0,0,,2024-05-21,
440,1,1,0,0,,2024-05-04,
441,1,1,1,0,derivatives,2024-04-21,2024-04-24
442,1,0,0,0,,2024-03-24,
443,1,1,1,1,spot,2024-05-22,2024-06-01
444,1,1,1,1,derivatives,2024-04-05,2024-04-11
445,1,0,0,0,,2024-02-02,
446,1,0,0,0,,2024-05-24,
447,1,0,0,0,,2024-05-31,
448,1,0,0,0,,2024-06-06,
449,1,1,0,0,,2024-05-20,
450,1,1,0,0,,2024-02-16,
451,1,0,0,0,,2024-04-21,
452,1,1,1,0,spot,2024-05-23,2024-05-24
453,1,1,1,0,spot,2024-02-12,2024-02-17
454,1,0,0,0,,2024-01-08,
455,1,1,1,0,spot,2024-01-03,2024-01-13
456,1,1,0,0,,2024-05-04,
457,1,1,0,0,,2024-01-12,
458,1,1,1,1,derivatives,2024-03-24,2024-03-30
459,1,1,0,0,,2024-01-16,
460,1,1,0,0,,2024-03-18,
461,1,1,1,1,derivatives,2024-02-28,2024-03-10
462,1,1,1,1,spot,2024-06-25,2024-07-03
463,1,0,0,0,,2024-03-03,
464,1,1,1,1,spot,2024-02-18,2024-02-29
465,1,0,0,0,,2024-02-20,
466,1,1,0,0,,2024-02-02,
467,1,1,0,0,,2024-01-30,
468,1,0,0,0,,2024-03-16,
469,1,1,0,0,,2024-01-15,
470,1,0,0,0,,2024-03-22,
471,1,1,0,0,,2024-04-01,
472,1,0,0,0,,2024-01-23,
473,1,1,1,1,spot,2024-04-03,2024-04-12
474,1,0,0,0,,2024-02-14,
475,1,1,0,0,,2024-03-02,
476,1,0,0,0,,2024-01-15,
477,1,1,0,0,,2024-02-15,
478,1,1,1,1,spot,2024-03-04,2024-03-15
479,1,0,0,0,,2024-06-22,
480,1,1,1,0,derivatives,2024-06-20,2024-06-23
481,1,1,0,0,,2024-03-15,
482,1,1,1,1,spot,2024-06-05,2024-06-07
483,1,1,1,0,spot,2024-02-21,2024-03-05
484,1,1,0,0,,2024-03-28,
485,1,1,0,0,,2024-02-26,
486,1,0,0,0,,2024-03-23,
487,1,1,0,0,,2024-03-06,
488,1,1,1,1,spot,2024-05-29,2024-06-02
489,1,0,0,0,,2024-01-20,
490,1,0,0,0,,2024-02-02,
491,1,1,0,0,,2024-03-12,
492,1,1,0,0,,2024-01-25,
493,1,1,1,0,spot,2024-02-15,2024-02-23
494,1,1,0,0,,2024-03-13,
495,1,1,0,0,,2024-04-07,
496,1,1,0,0,,2024-02-26,
497,1,1,1,1,spot,2024-03-27,2024-04-07
498,1,1,1,1,spot,2024-05-12,2024-05-20
499,1,0,0,0,,2024-02-24,
500,1,0,0,0,,2024-03-01,
501,1,1,1,0,derivatives,2024-03-29,2024-04-01
502,1,1,1,1,derivatives,2024-01-08,2024-01-12
503,1,1,1,1,spot,2024-01-16,2024-01-19
504,1,0,0,0,,2024-06-24,
505,1,1,0,0,,2024-04-25,
506,1,1,0,0,,2024-03-01,
507,1,0,0,0,,2024-01-15,
508,1,0,0,0,,2024-05-29,
509,1,0,0,0,,2024-05-10,
510,1,0,0,0,,2024-04-11,
511,1,1,0,0,,2024-02-23,
512,1,1,1,1,derivatives,2024-01-14,2024-01-24
513,1,0,0,0,,2024-02-05,
514,1,0,0,0,,2024-04-14,
515,1,1,1,0,spot,2024-03-22,2024-03-24
516,1,1,1,1,spot,2024-03-07,2024-03-11
517,1,1,0,0,,2024-01-10,
518,1,0,0,0,,2024-02-18,
519,1,0,0,0,,2024-04-20,
520,1,1,1,1,spot,2024-03-05,2024-03-11
521,1,1,1,0,spot,2024-02-26,2024-03-08
522,1,1,0,0,,2024-01-27,
523,1,0,0,0,,2024-04-22,
524,1,0,0,0,,2024-05-12,
525,1,0,0,0,,2024-03-11,
526,1,1,0,0,,2024-03-23,
527,1,1,0,0,,2024-02-26,
528,1,1,1,0,spot,2024-04-29,2024-05-10
529,1,1,0,0,,2024-04-02,
530,1,0,0,0,,2024-01-15,
531,1,0,0,0,,2024-04-20,
532,1,0,0,0,,2024-04-10,
533,1,0,0,0,,2024-04-28,
534,1,1,0,0,,2024-03-16,
535,1,0,0,0,,2024-06-06,
536,1,0,0,0,,2024-01-20,
537,1,0,0,0,,2024-06-13,
538,1,1,0,0,,2024-05-10,
539,1,1,1,1,spot,2024-03-13,2024-03-18
540,1,1,1,1,spot,2024-05-01,2024-05-04
541,1,0,0,0,,2024-02-10,
542,1,1,1,1,derivatives,2024-06-15,2024-06-17
543,1,1,1,1,spot,2024-06-02,2024-06-11
544,1,1,1,1,spot,2024-05-09,2024-05-10
545,1,1,0,0,,2024-01-23,
546,1,1,0,0,,2024-01-23,
547,1,1,0,0,,2024-05-23,
548,1,1,0,0,,2024-01-09,
549,1,1,0,0,,2024-01-13,
550,1,0,0,0,,2024-06-04,
551,1,1,0,0,,2024-06-03,
552,1,0,0,0,,2024-02-20,
553,1,1,1,1,spot,2024-03-04,2024-03-13
554,1,1,1,0,spot,2024-02-21,2024-02-22
555,1,0,0,0,,2024-02-07,
556,1,1,1,0,spot,2024-04-09,2024-04-16
557,1,1,0,0,,2024-05-25,
558,1,1,0,0,,2024-02-20,
559,1,0,0,0,,2024-05-16,
560,1,1,0,0,,2024-05-20,
561,1,1,1,0,derivatives,2024-06-16,2024-06-22
562,1,1,1,1,spot,2024-02-24,2024-03-02
563,1,1,0,0,,2024-04-18,
564,1,1,0,0,,2024-06-19,
565,1,1,0,0,,2024-02-13,
566,1,1,0,0,,2024-04-19,
567,1,1,0,0,,2024-06-09,
568,1,1,0,0,,2024-05-31,
569,1,0,0,0,,2024-06-12,
570,1,1,1,0,spot,2024-05-07,2024-05-10
571,1,1,0,0,,2024-04-14,
572,1,0,0,0,,2024-01-10,
573,1,1,0,0,,2024-04-09,
574,1,1,0,0,,2024-05-27,
575,1,0,0,0,,2024-04-18,
576,1,0,0,0,,2024-04-17,
577,1,1,1,1,spot,2024-05-19,2024-05-22
578,1,0,0,0,,2024-05-25,
579,1,1,0,0,,2024-04-03,
580,1,1,1,0,spot,2024-03-03,2024-03-16
581,1,1,0,0,,2024-03-24,
582,1,0,0,0,,2024-01-25,
583,1,1,0,0,,2024-01-12,
584,1,1,0,0,,2024-05-28,
585,1,1,1,0,spot,2024-01-25,2024-02-05
586,1,1,1,0,spot,2024-01-11,2024-01-12
587,1,1,0,0,,2024-03-04,
588,1,1,1,1,spot,2024-05-05,2024-05-09
589,1,1,0,0,,2024-02-19,
590,1,1,1,0,spot,2024-03-29,2024-04-10
591,1,1,1,0,spot,2024-04-08,2024-04-10
592,1,1,1,1,derivatives,2024-04-25,2024-05-05
593,1,1,1,1,spot,2024-04-05,2024-04-13
594,1,1,0,0,,2024-06-25,
595,1,0,0,0,,2024-01-14,
596,1,1,1,0,derivatives,2024-01-01,2024-01-04
597,1,1,0,0,,2024-01-25,
598,1,1,0,0,,2024-03-12,
599,1,1,0,0,,2024-03-09,
600,1,1,0,0,,2024-05-12,
601,1,1,1,1,derivatives,2024-04-14,2024-04-21
602,1,1,0,0,,2024-05-26,
603,1,1,1,0,spot,2024-01-23,2024-01-30
604,1,1,0,0,,2024-01-09,
605,1,1,0,0,,2024-04-27,
606,1,1,0,0,,2024-04-03,
607,1,1,0,0,,2024-06-26,
608,1,1,0,0,,2024-05-23,
609,1,1,1,0,spot,2024-02-02,2024-02-14
610,1,1,0,0,,2024-05-09,
611,1,1,1,1,spot,2024-01-14,2024-01-23
612,1,0,0,0,,2024-01-01,
613,1,1,0,0,,2024-03-30,
614,1,1,1,1,spot,2024-03-29,2024-04-04
615,1,0,0,0,,2024-05-23,
616,1,0,0,0,,2024-03-30,
617,1,1,0,0,,2024-06-23,
618,1,1,0,0,,2024-06-20,
619,1,0,0,0,,2024-01-14,
620,1,0,0,0,,2024-05-31,
621,1,1,1,0,spot,2024-04-20,2024-04-21
622,1,1,1,0,derivatives,2024-05-22,2024-05-30
623,1,1,0,0,,2024-03-23,
624,1,1,1,0,derivatives,2024-03-12,2024-03-13
625,1,1,0,0,,2024-06-10,
626,1,1,1,0,spot,2024-05-09,2024-05-12
627,1,1,0,0,,2024-01-27,
628,1,0,0,0,,2024-03-14,
629,1,1,0,0,,2024-04-08,
630,1,1,0,0,,2024-03-12,
631,1,1,1,1,spot,2024-01-23,2024-02-03
632,1,0,0,0,,2024-03-08,
633,1,1,0,0,,2024-05-21,
634,1,1,0,0,,2024-04-26,
635,1,1,1,1,spot,2024-04-15,2024-04-20
636,1,1,1,0,derivatives,2024-04-02,2024-04-10
637,1,1,1,1,spot,2024-03-05,2024-03-14
638,1,1,1,0,spot,2024-03-08,2024-03-15
639,1,1,1,0,derivatives,2024-05-07,2024-05-16
640,1,1,1,0,spot,2024-03-03,2024-03-14
641,1,1,0,0,,2024-04-22,
